game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Instant Rollup,January,1265250.0,Not Tracked,2017,60016
Lotto,January,55587.0,"18,026",2017,60016
Lucky Day Lotto,January,88114.0,"38,057",2017,60016
Mega Millions ,January,58212.0,"20,413",2017,60016
Pick 3,January,65341.5,"66,493",2017,60016
Pick3 Fireball,January,14373.0,"15,453",2017,60016
Pick 4,January,42386.5,"51,362",2017,60016
Pick4 Fireball,January,12434.0,"15,843",2017,60016
Powerball,January,52843.0,"13,288",2017,60016
EZ Match,January,3894.0,"3,894",2017,60018
Instant Rollup,January,853650.0,Not Tracked,2017,60018
Lotto,January,34639.0,"12,315",2017,60018
Lucky Day Lotto,January,53694.0,"24,536",2017,60018
Mega Millions ,January,45369.0,"16,191",2017,60018
Pick 3,January,39248.5,"39,863",2017,60018
Pick3 Fireball,January,8217.0,"9,356",2017,60018
Pick 4,January,35576.0,"45,844",2017,60018
Pick4 Fireball,January,9596.5,"13,383",2017,60018
Powerball,January,43742.0,"10,997",2017,60018
EZ Match,January,2003.0,"2,003",2017,60020
Instant Rollup,January,317100.0,Not Tracked,2017,60020
Lotto,January,13512.0,"4,635",2017,60020
Lucky Day Lotto,January,20455.0,"8,385",2017,60020
Mega Millions ,January,15352.0,"5,400",2017,60020
Pick 3,January,8609.5,"9,287",2017,60020
Pick3 Fireball,January,3514.5,"5,070",2017,60020
Pick 4,January,4532.0,"5,235",2017,60020
Pick4 Fireball,January,2201.5,"2,816",2017,60020
Powerball,January,13824.0,"3,528",2017,60020
EZ Match,January,158.0,158,2017,60021
Instant Rollup,January,91650.0,Not Tracked,2017,60021
Lotto,January,5640.0,"2,086",2017,60021
Lucky Day Lotto,January,6114.0,"2,513",2017,60021
Mega Millions ,January,7073.0,"2,460",2017,60021
Pick 3,January,1019.5,963,2017,60021
Pick3 Fireball,January,119.0,83,2017,60021
Pick 4,January,832.0,664,2017,60021
Pick4 Fireball,January,42.0,39,2017,60021
Powerball,January,6450.0,"1,560",2017,60021
EZ Match,January,44.0,44,2017,60022
Instant Rollup,January,11700.0,Not Tracked,2017,60022
Lotto,January,1269.0,450,2017,60022
Lucky Day Lotto,January,1748.0,785,2017,60022
Mega Millions ,January,2544.0,725,2017,60022
Pick 3,January,759.0,962,2017,60022
Pick3 Fireball,January,369.0,473,2017,60022
Pick 4,January,1032.5,"1,280",2017,60022
Pick4 Fireball,January,314.0,376,2017,60022
Powerball,January,5270.0,679,2017,60022
EZ Match,January,1865.0,"1,865",2017,60025
Instant Rollup,January,406350.0,Not Tracked,2017,60025
Lotto,January,34619.0,"9,545",2017,60025
Lucky Day Lotto,January,32055.0,"13,271",2017,60025
Mega Millions ,January,28990.0,"10,128",2017,60025
Pick 3,January,22659.5,"22,773",2017,60025
Pick3 Fireball,January,9139.0,"9,221",2017,60025
Pick 4,January,17766.5,"22,919",2017,60025
Pick4 Fireball,January,8368.5,"10,731",2017,60025
Powerball,January,27148.0,"6,487",2017,60025
EZ Match,January,71.0,71,2017,60026
Instant Rollup,January,48900.0,Not Tracked,2017,60026
Lotto,January,1068.0,488,2017,60026
Lucky Day Lotto,January,1256.0,685,2017,60026
Mega Millions ,January,2099.0,741,2017,60026
Pick 3,January,341.5,244,2017,60026
Pick3 Fireball,January,165.5,156,2017,60026
Pick 4,January,259.0,293,2017,60026
Pick4 Fireball,January,208.0,240,2017,60026
Powerball,January,1413.0,391,2017,60026
EZ Match,January,2079.0,"2,079",2017,60030
Instant Rollup,January,368850.0,Not Tracked,2017,60030
Lotto,January,20988.0,"6,933",2017,60030
Lucky Day Lotto,January,22801.0,"9,984",2017,60030
Mega Millions ,January,27667.0,"9,428",2017,60030
Pick 3,January,14637.0,"14,277",2017,60030
Pick3 Fireball,January,6323.0,"6,089",2017,60030
Pick 4,January,8366.0,"8,898",2017,60030
Pick4 Fireball,January,3668.5,"4,073",2017,60030
Powerball,January,29749.0,"6,940",2017,60030
EZ Match,January,2072.0,"2,072",2017,60031
Instant Rollup,January,377700.0,Not Tracked,2017,60031
Lotto,January,21320.0,"7,235",2017,60031
Lucky Day Lotto,January,25851.0,"11,237",2017,60031
Mega Millions ,January,28425.0,"10,016",2017,60031
Pick 3,January,19706.0,"20,550",2017,60031
Pick3 Fireball,January,4361.0,"4,897",2017,60031
Pick 4,January,16190.5,"19,525",2017,60031
Pick4 Fireball,January,4365.0,"5,416",2017,60031
Powerball,January,29582.0,"7,211",2017,60031
EZ Match,January,1023.0,"1,023",2017,60033
Instant Rollup,January,183450.0,Not Tracked,2017,60033
Lotto,January,6131.0,"2,215",2017,60033
Lucky Day Lotto,January,8249.0,"3,968",2017,60033
Mega Millions ,January,7422.0,"2,623",2017,60033
Pick 3,January,3802.0,"3,972",2017,60033
Pick3 Fireball,January,413.0,404,2017,60033
Pick 4,January,3255.5,"4,010",2017,60033
Pick4 Fireball,January,651.5,500,2017,60033
Powerball,January,6702.0,"1,929",2017,60033
EZ Match,January,60.0,60,2017,60034
Instant Rollup,January,12000.0,Not Tracked,2017,60034
Lotto,January,1498.0,281,2017,60034
Lucky Day Lotto,January,935.0,365,2017,60034
Mega Millions ,January,547.0,197,2017,60034
Pick 3,January,89.0,71,2017,60034
Pick3 Fireball,January,2.0,2,2017,60034
Pick 4,January,31.0,51,2017,60034
Pick4 Fireball,January,5.0,5,2017,60034
Powerball,January,1111.0,160,2017,60034
EZ Match,January,1435.0,"1,435",2017,60035
Instant Rollup,January,294450.0,Not Tracked,2017,60035
Lotto,January,21716.0,"6,727",2017,60035
Lucky Day Lotto,January,22722.0,"9,043",2017,60035
Mega Millions ,January,24974.0,"9,064",2017,60035
Pick 3,January,11676.0,"11,712",2017,60035
