game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Instant Rollup,January,240750.0,Not Tracked,2017,60090
Lotto,January,11844.0,"4,006",2017,60090
Lucky Day Lotto,January,18797.0,"8,594",2017,60090
Mega Millions ,January,13083.0,"4,920",2017,60090
Pick 3,January,24490.5,"19,162",2017,60090
Pick3 Fireball,January,3415.5,"3,986",2017,60090
Pick 4,January,14272.0,"17,457",2017,60090
Pick4 Fireball,January,2987.0,"4,464",2017,60090
Powerball,January,12463.0,"3,441",2017,60090
EZ Match,January,1154.0,"1,154",2017,60091
Instant Rollup,January,183750.0,Not Tracked,2017,60091
Lotto,January,13334.0,"4,218",2017,60091
Lucky Day Lotto,January,12873.0,"5,707",2017,60091
Mega Millions ,January,16221.0,"5,667",2017,60091
Pick 3,January,9168.0,"8,431",2017,60091
Pick3 Fireball,January,1194.0,"1,319",2017,60091
Pick 4,January,5857.0,"7,625",2017,60091
Pick4 Fireball,January,2039.5,"2,695",2017,60091
Powerball,January,16158.0,"3,830",2017,60091
EZ Match,January,380.0,380,2017,60093
Instant Rollup,January,55050.0,Not Tracked,2017,60093
Lotto,January,4685.0,"1,490",2017,60093
Lucky Day Lotto,January,6488.0,"2,397",2017,60093
Mega Millions ,January,7575.0,"2,254",2017,60093
Pick 3,January,2744.5,"2,697",2017,60093
Pick3 Fireball,January,449.0,543,2017,60093
Pick 4,January,2697.5,"3,176",2017,60093
Pick4 Fireball,January,619.0,776,2017,60093
Powerball,January,7982.0,"1,674",2017,60093
EZ Match,January,778.0,778,2017,60096
Instant Rollup,January,128400.0,Not Tracked,2017,60096
Lotto,January,9336.0,"2,176",2017,60096
Lucky Day Lotto,January,10386.0,"3,543",2017,60096
Mega Millions ,January,6176.0,"2,037",2017,60096
Pick 3,January,10565.5,"10,568",2017,60096
Pick3 Fireball,January,1921.0,"2,123",2017,60096
Pick 4,January,6753.5,"8,087",2017,60096
Pick4 Fireball,January,1511.0,"1,717",2017,60096
Powerball,January,7010.0,"1,670",2017,60096
EZ Match,January,568.0,568,2017,60097
Instant Rollup,January,87450.0,Not Tracked,2017,60097
Lotto,January,4874.0,"1,714",2017,60097
Lucky Day Lotto,January,5310.0,"2,587",2017,60097
Mega Millions ,January,4205.0,"1,702",2017,60097
Pick 3,January,787.5,890,2017,60097
Pick3 Fireball,January,97.5,90,2017,60097
Pick 4,January,1033.5,"1,463",2017,60097
Pick4 Fireball,January,149.0,105,2017,60097
Powerball,January,3970.0,"1,130",2017,60097
EZ Match,January,2509.0,"2,509",2017,60098
Instant Rollup,January,349050.0,Not Tracked,2017,60098
Lotto,January,16161.0,"5,354",2017,60098
Lucky Day Lotto,January,18725.0,"8,842",2017,60098
Mega Millions ,January,16719.0,"6,533",2017,60098
Pick 3,January,4921.0,"4,702",2017,60098
Pick3 Fireball,January,1329.5,"1,342",2017,60098
Pick 4,January,4015.0,"5,094",2017,60098
Pick4 Fireball,January,2107.5,"2,878",2017,60098
Powerball,January,15756.0,"4,542",2017,60098
EZ Match,January,2110.0,"2,110",2017,60099
Instant Rollup,January,362100.0,Not Tracked,2017,60099
Lotto,January,12865.0,"4,698",2017,60099
Lucky Day Lotto,January,19028.0,"9,773",2017,60099
Mega Millions ,January,15818.0,"6,300",2017,60099
Pick 3,January,39537.5,"43,139",2017,60099
Pick3 Fireball,January,7019.0,"8,328",2017,60099
Pick 4,January,26624.0,"37,542",2017,60099
Pick4 Fireball,January,9205.0,"13,621",2017,60099
Powerball,January,17066.0,"4,706",2017,60099
EZ Match,January,3912.0,"3,912",2017,60101
Instant Rollup,January,912900.0,Not Tracked,2017,60101
Lotto,January,36895.0,"11,891",2017,60101
Lucky Day Lotto,January,56345.0,"23,120",2017,60101
Mega Millions ,January,44684.0,"16,015",2017,60101
Pick 3,January,42448.5,"44,484",2017,60101
Pick3 Fireball,January,8196.5,"10,002",2017,60101
Pick 4,January,26040.5,"32,458",2017,60101
Pick4 Fireball,January,7493.5,"10,414",2017,60101
Powerball,January,42625.0,"10,656",2017,60101
EZ Match,January,1895.0,"1,895",2017,60102
Instant Rollup,January,540750.0,Not Tracked,2017,60102
Lotto,January,30767.0,"9,847",2017,60102
Lucky Day Lotto,January,34339.0,"13,778",2017,60102
Mega Millions ,January,33232.0,"11,770",2017,60102
Pick 3,January,11052.0,"10,997",2017,60102
Pick3 Fireball,January,2325.5,"2,385",2017,60102
Pick 4,January,6870.5,"7,145",2017,60102
Pick4 Fireball,January,2565.5,"3,436",2017,60102
Powerball,January,31976.0,"8,045",2017,60102
EZ Match,January,2045.0,"2,045",2017,60103
Instant Rollup,January,336750.0,Not Tracked,2017,60103
Lotto,January,25291.0,"7,071",2017,60103
Lucky Day Lotto,January,29440.0,"11,906",2017,60103
Mega Millions ,January,24471.0,"8,111",2017,60103
Pick 3,January,15701.0,"15,599",2017,60103
Pick3 Fireball,January,3689.0,"3,958",2017,60103
Pick 4,January,9029.0,"10,645",2017,60103
Pick4 Fireball,January,2362.0,"3,370",2017,60103
Powerball,January,21579.0,"5,253",2017,60103
EZ Match,January,3102.0,"3,102",2017,60104
Instant Rollup,January,311400.0,Not Tracked,2017,60104
Lotto,January,8523.0,"2,822",2017,60104
Lucky Day Lotto,January,21141.0,"11,955",2017,60104
Mega Millions ,January,8420.0,"3,585",2017,60104
Pick 3,January,116656.0,"127,609",2017,60104
Pick3 Fireball,January,24112.5,"28,659",2017,60104
Pick 4,January,112591.0,"187,637",2017,60104
Pick4 Fireball,January,32571.0,"56,426",2017,60104
Powerball,January,9258.0,"2,451",2017,60104
EZ Match,January,3010.0,"3,010",2017,60106
Instant Rollup,January,822750.0,Not Tracked,2017,60106
Lotto,January,28564.0,"9,417",2017,60106
Lucky Day Lotto,January,38805.0,"18,218",2017,60106
Mega Millions ,January,33889.0,"12,673",2017,60106
Pick 3,January,35655.0,"36,480",2017,60106
Pick3 Fireball,January,5107.0,"5,905",2017,60106
Pick 4,January,27963.0,"37,746",2017,60106
Pick4 Fireball,January,8008.0,"10,728",2017,60106
Powerball,January,28046.0,"7,765",2017,60106
EZ Match,January,4037.0,"4,037",2017,60107
Instant Rollup,January,721200.0,Not Tracked,2017,60107
Lotto,January,34465.0,"10,089",2017,60107
Lucky Day Lotto,January,48119.0,"20,237",2017,60107
Mega Millions ,January,33438.0,"11,002",2017,60107
Pick 3,January,34389.5,"31,418",2017,60107
Pick3 Fireball,January,6783.5,"7,674",2017,60107
Pick 4,January,22149.5,"27,643",2017,60107
Pick4 Fireball,January,8235.0,"10,478",2017,60107
Powerball,January,31930.0,"7,728",2017,60107
EZ Match,January,2624.0,"2,624",2017,60108
Instant Rollup,January,401700.0,Not Tracked,2017,60108
Lotto,January,26635.0,"8,840",2017,60108
Lucky Day Lotto,January,31821.0,"14,859",2017,60108
Mega Millions ,January,30859.0,"11,130",2017,60108
Pick 3,January,16807.5,"16,516",2017,60108
Pick3 Fireball,January,3530.5,"4,055",2017,60108
Pick 4,January,16041.0,"21,392",2017,60108
Pick4 Fireball,January,5018.5,"7,733",2017,60108
Powerball,January,28184.0,"7,168",2017,60108
EZ Match,January,229.0,229,2017,60109
Instant Rollup,January,14100.0,Not Tracked,2017,60109
Lotto,January,898.0,337,2017,60109
Lucky Day Lotto,January,1311.0,711,2017,60109
Mega Millions ,January,787.0,295,2017,60109
Pick 3,January,228.0,98,2017,60109
Pick3 Fireball,January,20.0,22,2017,60109
Pick 4,January,17.0,20,2017,60109
Pick4 Fireball,January,17.0,20,2017,60109
Powerball,January,1064.0,257,2017,60109
EZ Match,January,2575.0,"2,575",2017,60110
Instant Rollup,January,429750.0,Not Tracked,2017,60110
Lotto,January,18616.0,"6,104",2017,60110
Lucky Day Lotto,January,22555.0,"9,820",2017,60110
Mega Millions ,January,22023.0,"7,528",2017,60110
Pick 3,January,13761.0,"14,803",2017,60110
Pick3 Fireball,January,3097.0,"3,419",2017,60110
Pick 4,January,8358.5,"8,679",2017,60110
Pick4 Fireball,January,2677.0,"3,393",2017,60110
Powerball,January,20730.0,"5,143",2017,60110
EZ Match,January,303.0,303,2017,60112
Instant Rollup,January,38250.0,Not Tracked,2017,60112
Lotto,January,2341.0,730,2017,60112
Lucky Day Lotto,January,2499.0,"1,115",2017,60112
Mega Millions ,January,2538.0,900,2017,60112
Pick 3,January,636.0,495,2017,60112
Pick3 Fireball,January,177.0,182,2017,60112
Pick 4,January,298.5,390,2017,60112
Pick4 Fireball,January,38.0,46,2017,60112
Powerball,January,2488.0,628,2017,60112
EZ Match,January,78.0,78,2017,60113
Instant Rollup,January,12000.0,Not Tracked,2017,60113
Lotto,January,654.0,234,2017,60113
Lucky Day Lotto,January,475.0,260,2017,60113
Mega Millions ,January,740.0,357,2017,60113
Pick 3,January,529.5,276,2017,60113
Pick3 Fireball,January,22.0,21,2017,60113
Pick 4,January,459.0,479,2017,60113
Pick4 Fireball,January,13.0,15,2017,60113
Powerball,January,904.0,278,2017,60113
EZ Match,January,1757.0,"1,757",2017,60115
Instant Rollup,January,409800.0,Not Tracked,2017,60115
Lotto,January,12137.0,"4,420",2017,60115
Lucky Day Lotto,January,14685.0,"7,466",2017,60115
Mega Millions ,January,15481.0,"6,237",2017,60115
Pick 3,January,17647.0,"18,862",2017,60115
Pick3 Fireball,January,3410.5,"4,109",2017,60115
Pick 4,January,10397.5,"12,831",2017,60115
Pick4 Fireball,January,4596.0,"5,599",2017,60115
Powerball,January,16044.0,"4,302",2017,60115
EZ Match,January,3136.0,"3,136",2017,60118
Instant Rollup,January,286350.0,Not Tracked,2017,60118
Lotto,January,17408.0,"5,870",2017,60118
Lucky Day Lotto,January,22125.0,"9,920",2017,60118
Mega Millions ,January,19637.0,"6,916",2017,60118
Pick 3,January,12467.5,"11,627",2017,60118
Pick3 Fireball,January,3115.5,"2,927",2017,60118
Pick 4,January,7136.0,"8,235",2017,60118
Pick4 Fireball,January,3614.0,"4,434",2017,60118
Powerball,January,18375.0,"4,311",2017,60118
EZ Match,January,210.0,210,2017,60119
Instant Rollup,January,68100.0,Not Tracked,2017,60119
Lotto,January,3229.0,"1,169",2017,60119
Lucky Day Lotto,January,3326.0,"1,461",2017,60119
Mega Millions ,January,3018.0,"1,217",2017,60119
Pick 3,January,1452.5,"1,555",2017,60119
Pick3 Fireball,January,161.0,188,2017,60119
Pick 4,January,1110.0,"1,257",2017,60119
Pick4 Fireball,January,416.0,448,2017,60119
Powerball,January,3230.0,823,2017,60119
EZ Match,January,8420.0,"8,420",2017,60120
Instant Rollup,January,725850.0,Not Tracked,2017,60120
Lotto,January,23026.0,"7,675",2017,60120
Lucky Day Lotto,January,41887.0,"21,510",2017,60120
Mega Millions ,January,25960.0,"9,925",2017,60120
Pick 3,January,27904.5,"28,760",2017,60120
Pick3 Fireball,January,3273.5,"3,560",2017,60120
Pick 4,January,23625.0,"28,248",2017,60120
Pick4 Fireball,January,6489.0,"7,687",2017,60120
Powerball,January,24654.0,"6,490",2017,60120
EZ Match,January,3519.0,"3,519",2017,60123
Instant Rollup,January,655200.0,Not Tracked,2017,60123
Lotto,January,30985.0,"9,681",2017,60123
Lucky Day Lotto,January,37280.0,"16,613",2017,60123
Mega Millions ,January,35914.0,"12,275",2017,60123
Pick 3,January,36980.0,"37,558",2017,60123
Pick3 Fireball,January,8097.5,"8,719",2017,60123
Pick 4,January,21582.5,"26,658",2017,60123
Pick4 Fireball,January,6596.0,"8,516",2017,60123
Powerball,January,32879.0,"8,187",2017,60123
EZ Match,January,535.0,535,2017,60124
Instant Rollup,January,70650.0,Not Tracked,2017,60124
Lotto,January,4208.0,"1,511",2017,60124
Lucky Day Lotto,January,5108.0,"2,423",2017,60124
Mega Millions ,January,6181.0,"2,096",2017,60124
Pick 3,January,1126.5,"1,276",2017,60124
Pick3 Fireball,January,264.5,301,2017,60124
Pick 4,January,921.5,"1,145",2017,60124
Pick4 Fireball,January,248.5,299,2017,60124
Powerball,January,6442.0,"1,505",2017,60124
EZ Match,January,3883.0,"3,883",2017,60126
Instant Rollup,January,594300.0,Not Tracked,2017,60126
Lotto,January,34427.0,"11,765",2017,60126
Lucky Day Lotto,January,43971.0,"20,905",2017,60126
Mega Millions ,January,42119.0,"14,913",2017,60126
Pick 3,January,39975.0,"41,020",2017,60126
Pick3 Fireball,January,10018.5,"11,547",2017,60126
Pick 4,January,34029.0,"43,458",2017,60126
Pick4 Fireball,January,9233.0,"13,888",2017,60126
Powerball,January,39059.0,"10,138",2017,60126
EZ Match,January,4668.0,"4,668",2017,60130
Instant Rollup,January,480600.0,Not Tracked,2017,60130
Lotto,January,17018.0,"6,530",2017,60130
Lucky Day Lotto,January,28652.0,"16,081",2017,60130
Mega Millions ,January,21732.0,"8,485",2017,60130
Pick 3,January,102904.5,"110,022",2017,60130
Pick3 Fireball,January,19946.5,"22,825",2017,60130
Pick 4,January,88951.5,"136,639",2017,60130
Pick4 Fireball,January,26684.5,"43,722",2017,60130
Powerball,January,20722.0,"5,480",2017,60130
EZ Match,January,1870.0,"1,870",2017,60131
Instant Rollup,January,468300.0,Not Tracked,2017,60131
Lotto,January,13106.0,"4,535",2017,60131
Lucky Day Lotto,January,20857.0,"10,230",2017,60131
Mega Millions ,January,17227.0,"6,279",2017,60131
Pick 3,January,33423.0,"34,910",2017,60131
Pick3 Fireball,January,4499.5,"5,274",2017,60131
Pick 4,January,23636.5,"31,731",2017,60131
Pick4 Fireball,January,4793.0,"7,087",2017,60131
Powerball,January,15917.0,"3,934",2017,60131
EZ Match,January,2420.0,"2,420",2017,60133
Instant Rollup,January,510300.0,Not Tracked,2017,60133
Lotto,January,20048.0,"6,575",2017,60133
Lucky Day Lotto,January,25804.0,"11,850",2017,60133
Mega Millions ,January,21769.0,"7,986",2017,60133
Pick 3,January,26842.5,"26,558",2017,60133
Pick3 Fireball,January,7563.0,"8,101",2017,60133
Pick 4,January,16871.5,"20,880",2017,60133
Pick4 Fireball,January,6647.5,"7,955",2017,60133
Powerball,January,19692.0,"5,164",2017,60133
EZ Match,January,1281.0,"1,281",2017,60134
Instant Rollup,January,199650.0,Not Tracked,2017,60134
Lotto,January,15143.0,"4,428",2017,60134
Lucky Day Lotto,January,16156.0,"6,772",2017,60134
Mega Millions ,January,15588.0,"4,966",2017,60134
Pick 3,January,7048.5,"6,571",2017,60134
Pick3 Fireball,January,1095.5,"1,087",2017,60134
Pick 4,January,4769.0,"5,910",2017,60134
Pick4 Fireball,January,803.5,"1,020",2017,60134
Powerball,January,14147.0,"3,344",2017,60134
EZ Match,January,356.0,356,2017,60135
Instant Rollup,January,61500.0,Not Tracked,2017,60135
Lotto,January,3282.0,"1,207",2017,60135
Lucky Day Lotto,January,3688.0,"1,559",2017,60135
Mega Millions ,January,3807.0,"1,335",2017,60135
Pick 3,January,680.5,563,2017,60135
Pick3 Fireball,January,146.0,131,2017,60135
Pick 4,January,622.5,750,2017,60135
Pick4 Fireball,January,268.5,457,2017,60135
Powerball,January,3224.0,937,2017,60135
EZ Match,January,194.0,194,2017,60136
Instant Rollup,January,35250.0,Not Tracked,2017,60136
Lotto,January,2702.0,751,2017,60136
Lucky Day Lotto,January,2327.0,992,2017,60136
Mega Millions ,January,2774.0,868,2017,60136
Pick 3,January,1132.0,"1,129",2017,60136
Pick3 Fireball,January,68.5,72,2017,60136
Pick 4,January,303.5,286,2017,60136
Pick4 Fireball,January,101.5,111,2017,60136
Powerball,January,2826.0,619,2017,60136
EZ Match,January,3085.0,"3,085",2017,60137
Instant Rollup,January,270600.0,Not Tracked,2017,60137
Lotto,January,18727.0,"5,593",2017,60137
Lucky Day Lotto,January,19491.0,"9,429",2017,60137
Mega Millions ,January,21279.0,"7,264",2017,60137
Pick 3,January,14840.0,"16,889",2017,60137
Pick3 Fireball,January,7127.0,"8,904",2017,60137
Pick 4,January,7523.0,"10,366",2017,60137
Pick4 Fireball,January,3152.0,"4,205",2017,60137
Powerball,January,19243.0,"4,882",2017,60137
EZ Match,January,2654.0,"2,654",2017,60139
Instant Rollup,January,567000.0,Not Tracked,2017,60139
Lotto,January,21684.0,"7,850",2017,60139
Lucky Day Lotto,January,30287.0,"14,520",2017,60139
Mega Millions ,January,28084.0,"10,455",2017,60139
Pick 3,January,27870.0,"28,982",2017,60139
Pick3 Fireball,January,5998.0,"7,015",2017,60139
Pick 4,January,23581.0,"29,484",2017,60139
Pick4 Fireball,January,7179.5,"10,224",2017,60139
Powerball,January,24943.0,"6,861",2017,60139
EZ Match,January,1107.0,"1,107",2017,60140
Instant Rollup,January,171600.0,Not Tracked,2017,60140
Lotto,January,9485.0,"2,842",2017,60140
Lucky Day Lotto,January,10367.0,"4,590",2017,60140
Mega Millions ,January,8397.0,"3,109",2017,60140
Pick 3,January,3260.5,"2,812",2017,60140
Pick3 Fireball,January,2419.5,"1,883",2017,60140
Pick 4,January,3202.0,"3,458",2017,60140
Pick4 Fireball,January,1735.0,"1,948",2017,60140
Powerball,January,9274.0,"2,338",2017,60140
EZ Match,January,1528.0,"1,528",2017,60142
Instant Rollup,January,282150.0,Not Tracked,2017,60142
Lotto,January,19396.0,"5,226",2017,60142
Lucky Day Lotto,January,20069.0,"7,264",2017,60142
Mega Millions ,January,18444.0,"5,663",2017,60142
Pick 3,January,7442.0,"6,116",2017,60142
Pick3 Fireball,January,1479.0,"1,449",2017,60142
Pick 4,January,6763.0,"5,922",2017,60142
Pick4 Fireball,January,2108.0,"2,218",2017,60142
Powerball,January,15615.0,"3,724",2017,60142
EZ Match,January,1653.0,"1,653",2017,60143
Instant Rollup,January,203850.0,Not Tracked,2017,60143
Lotto,January,17474.0,"4,723",2017,60143
Lucky Day Lotto,January,23768.0,"8,928",2017,60143
Mega Millions ,January,18625.0,"5,931",2017,60143
Pick 3,January,8440.5,"8,446",2017,60143
Pick3 Fireball,January,1796.0,"1,928",2017,60143
Pick 4,January,8940.0,"10,884",2017,60143
Pick4 Fireball,January,2299.5,"3,051",2017,60143
Powerball,January,14435.0,"3,666",2017,60143
EZ Match,January,91.0,91,2017,60144
Instant Rollup,January,9600.0,Not Tracked,2017,60144
Lotto,January,1062.0,324,2017,60144
Lucky Day Lotto,January,897.0,414,2017,60144
Mega Millions ,January,732.0,270,2017,60144
Pick 3,January,90.0,30,2017,60144
Pick3 Fireball,January,77.0,17,2017,60144
Pick 4,January,49.0,19,2017,60144
Pick4 Fireball,January,49.0,19,2017,60144
Powerball,January,824.0,207,2017,60144
EZ Match,January,536.0,536,2017,60145
Instant Rollup,January,12600.0,Not Tracked,2017,60145
Lotto,January,1089.0,412,2017,60145
Lucky Day Lotto,January,1744.0,971,2017,60145
Mega Millions ,January,1105.0,407,2017,60145
Pick 3,January,679.5,617,2017,60145
Pick3 Fireball,January,488.0,488,2017,60145
Pick 4,January,83.5,68,2017,60145
Pick4 Fireball,January,17.0,13,2017,60145
Powerball,January,1152.0,333,2017,60145
EZ Match,January,427.0,427,2017,60146
Instant Rollup,January,36300.0,Not Tracked,2017,60146
Lotto,January,971.0,351,2017,60146
Lucky Day Lotto,January,2293.0,890,2017,60146
Mega Millions ,January,1285.0,437,2017,60146
Pick 3,January,689.0,581,2017,60146
Pick3 Fireball,January,58.0,58,2017,60146
Pick 4,January,270.5,204,2017,60146
Pick4 Fireball,January,39.0,39,2017,60146
Powerball,January,1501.0,373,2017,60146
EZ Match,January,6144.0,"6,144",2017,60148
Instant Rollup,January,708450.0,Not Tracked,2017,60148
Lotto,January,38815.0,"13,385",2017,60148
Lucky Day Lotto,January,53718.0,"24,938",2017,60148
Mega Millions ,January,47336.0,"17,361",2017,60148
Pick 3,January,38187.5,"37,932",2017,60148
Pick3 Fireball,January,10747.5,"11,766",2017,60148
Pick 4,January,32440.5,"40,127",2017,60148
Pick4 Fireball,January,11430.0,"15,255",2017,60148
Powerball,January,44313.0,"11,731",2017,60148
EZ Match,January,49.0,49,2017,60150
Instant Rollup,January,12000.0,Not Tracked,2017,60150
Lotto,January,590.0,251,2017,60150
Lucky Day Lotto,January,1095.0,494,2017,60150
Mega Millions ,January,684.0,335,2017,60150
Pick 3,January,304.0,293,2017,60150
Pick3 Fireball,January,30.0,40,2017,60150
Pick 4,January,296.0,254,2017,60150
Pick4 Fireball,January,18.0,21,2017,60150
Powerball,January,695.0,250,2017,60150
EZ Match,January,249.0,249,2017,60151
Instant Rollup,January,39750.0,Not Tracked,2017,60151
Lotto,January,1947.0,768,2017,60151
Lucky Day Lotto,January,1989.0,891,2017,60151
Mega Millions ,January,2255.0,838,2017,60151
Pick 3,January,240.0,245,2017,60151
Pick3 Fireball,January,96.0,107,2017,60151
Pick 4,January,752.5,801,2017,60151
Pick4 Fireball,January,617.0,626,2017,60151
Powerball,January,2491.0,683,2017,60151
EZ Match,January,959.0,959,2017,60152
Instant Rollup,January,136350.0,Not Tracked,2017,60152
Lotto,January,7349.0,"2,169",2017,60152
Lucky Day Lotto,January,6565.0,"2,949",2017,60152
Mega Millions ,January,7846.0,"2,658",2017,60152
Pick 3,January,1330.5,"1,298",2017,60152
Pick3 Fireball,January,562.0,570,2017,60152
Pick 4,January,895.5,897,2017,60152
Pick4 Fireball,January,590.5,623,2017,60152
Powerball,January,7656.0,"1,806",2017,60152
EZ Match,January,2281.0,"2,281",2017,60153
Instant Rollup,January,278100.0,Not Tracked,2017,60153
Lotto,January,6690.0,"2,746",2017,60153
Lucky Day Lotto,January,17024.0,"9,995",2017,60153
Mega Millions ,January,9562.0,"4,096",2017,60153
Pick 3,January,109005.0,"119,453",2017,60153
Pick3 Fireball,January,17977.0,"22,312",2017,60153
Pick 4,January,84564.5,"139,681",2017,60153
Pick4 Fireball,January,24873.5,"44,303",2017,60153
Powerball,January,8172.0,"2,582",2017,60153
EZ Match,January,4855.0,"4,855",2017,60154
Instant Rollup,January,489000.0,Not Tracked,2017,60154
Lotto,January,23986.0,"7,798",2017,60154
Lucky Day Lotto,January,39301.0,"18,666",2017,60154
Mega Millions ,January,27513.0,"9,271",2017,60154
Pick 3,January,91983.0,"95,857",2017,60154
Pick3 Fireball,January,21003.0,"25,662",2017,60154
Pick 4,January,94370.5,"128,838",2017,60154
Pick4 Fireball,January,32219.5,"45,066",2017,60154
Powerball,January,26680.0,"6,664",2017,60154
EZ Match,January,1133.0,"1,133",2017,60155
Instant Rollup,January,100650.0,Not Tracked,2017,60155
